person_id,keyword,paper_year
217,design,1998
217,avaliação,1998
217,interface,1998
217,semiótica,1998
399,design,1998
399,avaliação,1998
399,interface,1998
399,semiótica,1998
437,design,1998
437,avaliação,1998
437,interface,1998
437,semiótica,1998
105,end-user programming,1998
105,human-computer interaction,1998
105,knowledge representation,1998
105,semiotic engineering,1998
511,end-user programming,1998
511,human-computer interaction,1998
511,knowledge representation,1998
511,semiotic engineering,1998
520,end-user programming,1998
520,human-computer interaction,1998
520,knowledge representation,1998
520,semiotic engineering,1998
348,ergonomia,1998
348,sistemas interativos: desenvolvimento e avaliação,1998
348,usabilidade,1998
377,ergonomia,1998
377,sistemas interativos: desenvolvimento e avaliação,1998
377,usabilidade,1998
405,ergonomia,1998
405,sistemas interativos: desenvolvimento e avaliação,1998
405,usabilidade,1998
573,ergonomia,1998
573,sistemas interativos: desenvolvimento e avaliação,1998
573,usabilidade,1998
125,ensino à distância,1998
125,interação homem-máquina,1998
125,interfaces de realidade virtual,1998
555,ensino à distância,1998
555,interação homem-máquina,1998
555,interfaces de realidade virtual,1998
571,ensino à distância,1998
571,interação homem-máquina,1998
571,interfaces de realidade virtual,1998
341,erro humano,1998
341,confiabilidade humana,1998
341,interfaces homem-computador,1998
341,metodologia,1998
214,interação musical,1998
214,interfaces musicais,1998
202,especificação de diálogo,1998
202,ferramenta de desenvolvimento de interfaces,1998
202,arquitetura de software,1998
239,especificação de diálogo,1998
239,ferramenta de desenvolvimento de interfaces,1998
239,arquitetura de software,1998
117,manipulação direta,1998
117,interface gráfica,1998
117,projetos de interfaces,1998
117,semiótica,1998
117,linguagem visual,1998
252,manipulação direta,1998
252,interface gráfica,1998
252,projetos de interfaces,1998
252,semiótica,1998
252,linguagem visual,1998
97,sistemas distribuídos,1998
97,ihc,1998
97,sistemas reativos,1998
97,rede de longa distância,1998
239,sistemas distribuídos,1998
239,ihc,1998
239,sistemas reativos,1998
239,rede de longa distância,1998
399,análise,1998
399,design,1998
399,interface,1998
399,semiótica,1998
437,análise,1998
437,design,1998
437,interface,1998
437,semiótica,1998
117,design languages,1998
117,interfaces,1998
117,semiotic engineering,1998
262,design languages,1998
262,interfaces,1998
262,semiotic engineering,1998
262,design languages,1998
262,interfaces,1998
262,semiotic engineering,1998
469,design languages,1998
469,interfaces,1998
469,semiotic engineering,1998
39,internet,1998
39,classificação semântica,1998
39,comportamento dos usuários,1998
39,www,1998
495,internet,1998
495,classificação semântica,1998
495,comportamento dos usuários,1998
495,www,1998
565,internet,1998
565,classificação semântica,1998
