Pair,Author1,Author2,Year,Class,AdamicAdar Weighted,AdamicAdar Unweighted,CommonNeighbours Weighted,CommonNeighbours Unweighted,Jaccard Weighted,Jaccard Unweighted,ResourceAllocation Weighted,ResourceAllocation Unweighted,GraphDistance Weighted,GraphDistance Unweighted,Katz Weighted,Katz Unweighted,RootedPageRank Weighted,RootedPageRank Unweighted,SimRank Weighted,SimRank Unweighted,CommonKeywords,N_CommonKeywords,CommonKeywords_this,N_CommonKeywors_this,N_CommonEvents,GeodesicDistance_Weighted,GeodesicDistance_Unweighted,Comp_Size1,Comp_Size2
"('511', '117')",511,117,1998,1,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","5,4454777328199236e-06","6,406444261212582e-06","0,006859588193747922","0,008253733209179005",/semiotic engineering,1,/semiotic engineering,1,1,"9999,0",9999,3,4
"('511', '399')",511,399,1998,1,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","5,9579931405293935e-06","5,125155389702708e-06","0,007327642474024278","0,005679187606486886",,0,,0,1,"9999,0",9999,3,3
"('187', '117')",187,117,1998,1,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","5,409886375946999e-06","6,406444261212576e-06","0,00676626845058528","0,008253733932717227",,0,,0,1,"9999,0",9999,4,4
"('187', '469')",187,469,1998,1,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",,0,,0,1,"9999,0",9999,4,4
"('377', '399')",377,399,1998,1,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",,0,,0,1,"9999,0",9999,4,3
"('377', '386')",377,386,1998,1,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",/usabilidade,1,/usabilidade,1,1,"9999,0",9999,4,3
"('377', '469')",377,469,1998,1,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",,0,,0,1,"9999,0",9999,4,4
"('377', '117')",377,117,1998,1,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","5,409886375946999e-06","6,406444261212576e-06","0,00676626845058528","0,008253733932717227",,0,,0,1,"9999,0",9999,4,4
"('377', '289')",377,289,1998,1,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","5,730208456542608e-06","5,125155389702701e-06","0,006852778117385136","0,005679188084223579",/usabilidade,1,/usabilidade,1,1,"9999,0",9999,4,3
"('520', '469')",520,469,1998,1,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","6,086122257050956e-06","5,1251553831689874e-06","0,007104161076080272","0,00554611046156209",/semiotic engineering,1,/semiotic engineering,1,1,"9999,0",9999,3,4
"('520', '117')",520,117,1998,1,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","5,4454777328199236e-06","6,406444261212582e-06","0,006859588193747922","0,008253733209179005",/semiotic engineering,1,/semiotic engineering,1,1,"9999,0",9999,3,4
"('117', '399')",117,399,1998,1,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",/semiótica,1,/semiótica,1,1,"9999,0",9999,4,3
"('572', '469')",572,469,1998,1,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","6,0505309001780326e-06","5,125155383168982e-06","0,007020452905328413","0,005546110935776378",,0,,0,1,"9999,0",9999,4,4
"('399', '469')",399,469,1998,1,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",,0,,0,1,"9999,0",9999,3,4
"('511', '117')",511,117,1999,1,"0,7213475204444817","0,7213475204444817","1,0","1,0","0,14285714285714285","0,14285714285714285","0,25","0,25","1,0","0,5","4,014207164e-06","1,0020120300000001e-06","0,19565062186522847","0,17947607783579456","0,2274027695319807","0,24357422146771315",/semiotic engineering,1,,0,1,"4,0",2,9,9
"('511', '399')",511,399,1999,1,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","7,0527386839207655e-06","6,811367881469983e-06","0,0042442127082417","0,004115913087928854",,0,,0,1,"9999,0",9999,9,4
"('187', '117')",187,117,1999,1,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","9,900026822789715e-06","9,280986509316396e-06","0,008503710545110248","0,007465994740853156",,0,,0,1,"9999,0",9999,4,9
"('187', '469')",187,469,1999,1,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",,0,,0,1,"9999,0",9999,4,9
"('377', '117')",377,117,1999,1,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0030877745372484e-05","9,559814436356944e-06","0,006732548351474746","0,006093495236501486",/usabilidade,1,,0,1,"9999,0",9999,8,9
"('377', '289')",377,289,1999,1,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","5,75182168002395e-06","5,218065376561843e-06","0,003501420417684665","0,00300026041129864",/usabilidade,1,,0,1,"9999,0",9999,8,3
"('377', '399')",377,399,1999,1,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",,0,,0,1,"9999,0",9999,8,4
"('377', '386')",377,386,1999,1,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",/usabilidade,1,,0,1,"9999,0",9999,8,3
"('377', '469')",377,469,1999,1,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",,0,,0,1,"9999,0",9999,8,9
"('1', '520')",1,520,1999,1,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",,0,,0,1,"9999,0",9999,2,9
"('1', '117')",1,117,1999,1,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",,0,,0,1,"9999,0",9999,2,9
"('9', '469')",9,469,1999,1,"0,5581106265512472","0,5581106265512472","1,0","1,0","0,25","0,25","0,16666666666666666","0,16666666666666666","0,75","0,5","3,022180398e-06","1,0030110349999997e-06","0,16113464249044118","0,13867728251103312","0,09703561445205552","0,12073690869048878",,0,,0,1,"4,0",2,9,9
"('117', '399')",117,399,1999,1,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",/semiótica/interfaces,2,/semiótica,1,2,"9999,0",9999,9,4
"('572', '469')",572,469,1999,1,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","8,310188119848758e-06","6,233795657438999e-06","0,005660666255389421","0,003790825209303085",,0,,0,1,"9999,0",9999,4,9
"('399', '469')",399,469,1999,1,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",/semiótica/interfaces,2,/semiótica,1,2,"9999,0",9999,4,9
"('511', '399')",511,399,2000,1,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","6,8472641898357675e-06","6,576708123378483e-06","0,0024542870291094482","0,0026145881864456056",,0,,0,1,"9999,0",9999,12,4
"('511', '117')",511,117,2000,1,"0,5581106265512472","0,5581106265512472","1,0","1,0","0,1","0,1","0,16666666666666666","0,16666666666666666","1,3333333333333333","0,5","8,044827344000002e-06","1,004020078e-06","0,17927502322923533","0,16762476744489724","0,14212974461753916","0,2055169724100397",/semiotic engineering,1,,0,1,"5,0",2,12,12
"('36', '117')",36,117,2000,1,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","7,91688679947583e-06","8,114808968156723e-06","0,0006001603604182322","0,0006072735605578563",,0,,0,1,"9999,0",9999,1,12
"('36', '469')",36,469,2000,1,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",,0,,0,1,"9999,0",9999,1,12
"('187', '117')",187,117,2000,1,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,1452751274240872e-05","1,1297086995445245e-05","0,007284455829641438","0,006779866582494172",,0,,0,1,"9999,0",9999,4,12
"('187', '469')",187,469,2000,1,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",,0,,0,1,"9999,0",9999,4,12
"('377', '399')",377,399,2000,1,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",,0,,0,2,"9999,0",9999,19,4
"('377', '483')",377,483,2000,1,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",,0,,0,1,"6,0",3,19,19
"('377', '117')",377,117,2000,1,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,5615541998037714e-05","1,5047492145375778e-05","0,012030470626250662","0,01083854549173604",/usabilidade,1,,0,2,"9999,0",9999,19,12
"('377', '386')",377,386,2000,1,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",/usabilidade,1,,0,2,"4,0",2,19,19
"('377', '469')",377,469,2000,1,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",,0,,0,2,"9999,0",9999,19,12
"('1', '520')",1,520,2000,1,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",,0,,0,1,"9999,0",9999,2,12
"('1', '117')",1,117,2000,1,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",,0,,0,1,"9999,0",9999,2,12
"('9', '469')",9,469,2000,1,"0,4551196133134186","0,4551196133134186","1,0","1,0","0,2","0,2","0,1111111111111111","0,1111111111111111","0,8333333333333334","0,5","5,034568226e-06","1,00401807e-06","0,14040577687033035","0,10790711650151946","0,07268934668515882","0,0946482677927316",,0,,0,1,"6,0",2,12,12
"('117', '399')",117,399,2000,1,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",/semiótica/interfaces,2,,0,3,"9999,0",9999,12,4
"('264', '342')",264,342,2000,1,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",,0,,0,1,"3,0",2,4,4
"('419', '469')",419,469,2000,1,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",/engenharia semiótica,1,,0,1,"6,0",2,12,12
"('572', '469')",572,469,2000,1,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","9,473529575115204e-06","6,7888597912294645e-06","0,004846030321339131","0,0030621164852571905",,0,,0,1,"9999,0",9999,4,12
"('399', '469')",399,469,2000,1,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",/semiótica/interfaces,2,,0,3,"9999,0",9999,4,12
"('50', '531')",50,531,2001,1,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",,0,,0,0,"9999,0",9999,3,16
"('9', '469')",9,469,2001,1,"0,3898712452512801","0,3898712452512801","1,0","1,0","0,16666666666666666","0,16666666666666666","0,07692307692307693","0,07692307692307693","0,8999999999999999","0,5","9,047658997999999e-06","1,005026119e-06","0,13960799609022273","0,0851884626567879","0,06414054234933123","0,0703545709131701",,0,,0,1,"4,0",2,16,16
"('36', '116')",36,116,2001,1,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","3,2765316124291617e-06","4,5918622369531025e-06","0,00046335991230616306","0,000737573669619097",,0,,0,0,"9999,0",9999,3,16
"('36', '117')",36,117,2001,1,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,2342115164216615e-05","1,3490077549305635e-05","0,0029821814551879624","0,004142822376608929",,0,,0,1,"9999,0",9999,3,16
"('36', '469')",36,469,2001,1,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",,0,,0,1,"9999,0",9999,3,16
"('66', '377')",66,377,2001,1,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,214457851824448e-05","1,1878132067050982e-05","0,0025618783349094626","0,003014262374571889",,0,,0,0,"9999,0",9999,3,25
"('235', '531')",235,531,2001,1,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",,0,,0,0,"9999,0",9999,3,16
"('89', '187')",89,187,2001,1,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","5,652672229076988e-06","5,05580621731109e-06","0,0013276101672967699","0,0011009174321897726",,0,,0,0,"9999,0",9999,3,4
"('89', '1')",89,1,2001,1,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","4,945210456307409e-06","4,676620751012761e-06","0,0012150065007547276","0,0011009173398871053",,0,,0,0,"9999,0",9999,3,2
"('89', '520')",89,520,2001,1,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,066795618469186e-05","8,63650643496398e-06","0,0030711259005633176","0,0021494334933333235",,0,,0,0,"9999,0",9999,3,16
"('89', '117')",89,117,2001,1,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,3457366535682296e-05","1,3490077549305635e-05","0,004502399927237493","0,004142822376608929",,0,,0,0,"9999,0",9999,3,16
"('89', '419')",89,419,2001,1,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","6,483840751303019e-06","4,591861991356936e-06","0,0012762081203740894","0,0007250475862902477",,0,,0,0,"9999,0",9999,3,16
"('89', '469')",89,469,2001,1,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0667956249444216e-05","7,018647570447933e-06","0,002945794045810501","0,001611389031501293",,0,,0,0,"9999,0",9999,3,16
"('511', '399')",511,399,2001,1,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,1437613136468373e-05","1,11822530444776e-05","0,0019917579791873","0,002489432230841357",,0,,0,1,"9999,0",9999,16,8
"('377', '117')",377,117,2001,1,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","2,519558313310593e-05","2,44127523821267e-05","0,014009542268215871","0,012869982292167664",/usabilidade,1,,0,3,"9999,0",9999,25,16
"('377', '399')",377,399,2001,1,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",,0,,0,3,"9999,0",9999,25,8
"('377', '469')",377,469,2001,1,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",,0,,0,2,"9999,0",9999,25,16
"('377', '483')",377,483,2001,1,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",,0,,0,1,"4,0",2,25,25
"('1', '520')",1,520,2001,1,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",,0,,0,1,"9999,0",9999,2,16
"('1', '117')",1,117,2001,1,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",,0,,0,1,"9999,0",9999,2,16
"('419', '469')",419,469,2001,1,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",/engenharia semiótica,1,,0,1,"5,0",2,16,16
"('399', '117')",399,117,2001,1,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","2,1692798193189802e-05","2,0699070187986983e-05","0,0138123536918739","0,012498176322240824",/semiótica/interfaces,2,,0,4,"9999,0",9999,8,16
"('399', '469')",399,469,2001,1,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",/semiótica/interfaces,2,,0,3,"9999,0",9999,8,16
"('187', '469')",187,469,2001,1,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",,0,,0,1,"9999,0",9999,4,16
"('187', '117')",187,117,2001,1,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,3416060929331725e-05","1,349007754930563e-05","0,004432357961357267","0,0041428227675081785",,0,,0,1,"9999,0",9999,4,16
"('572', '469')",572,469,2001,1,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0626650643093647e-05","7,0186475704479275e-06","0,002907223876433382","0,0016113891795194572",,0,,0,1,"9999,0",9999,4,16
"('50', '531')",50,531,2002,1,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",,0,,0,0,"9999,0",9999,3,23
"('9', '469')",9,469,2002,1,"0,36926937306885504","0,36926937306885504","1,0","1,0","0,14285714285714285","0,14285714285714285","0,06666666666666668","0,06666666666666668","0,9166666666666669","0,5","1,1068577219e-05","1,0060331779999998e-06","0,10041936635171142","0,06441506557255769","0,04228995431226528","0,0572533107557583",,0,,0,1,"3,0",2,23,23
"('90', '455')",90,455,2002,1,"0,7276998587040522","0,7276998587040522","2,0","2,0","0,3333333333333333","0,3333333333333333","0,13090909090909092","0,13090909090909092","1,0","0,5","4,1578464990000005e-06","2,0100865619999998e-06","0,03627120345264998","0,045808521494485915","0,024600129491987945","0,043892152711854274",,0,,0,0,"3,0",2,36,36
"('552', '511')",552,511,2002,1,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","4,108053600881002e-06","4,68473789349086e-06","0,0003309140813477888","0,00041100195388032784",,0,,0,0,"9999,0",9999,5,23
"('552', '399')",552,399,2002,1,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,5331792240347492e-05","1,3348682787834022e-05","0,002255568176935024","0,0017675448179290095",,0,,0,0,"9999,0",9999,5,12
"('552', '184')",552,184,2002,1,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","6,295500206444641e-06","5,788969283344743e-06","0,0007753097233504713","0,0006651495083236593",,0,,0,0,"9999,0",9999,5,4
"('129', '520')",129,520,2002,1,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",,0,,0,0,"9999,0",9999,3,23
"('129', '419')",129,419,2002,1,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",,0,,0,0,"9999,0",9999,3,23
"('478', '264')",478,264,2002,1,"0,5138983423697507","0,5138983423697507","1,0","1,0","0,2","0,2","0,14285714285714285","0,14285714285714285","0,8333333333333334","0,5","5,023377393999998e-06","1,0040170649999998e-06","0,16054545098716252","0,14171705939983925","0,1448006989787184","0,13675435926490986",,0,,0,0,"3,0",2,8,8
"('478', '209')",478,209,2002,1,"0,5138983423697507","0,5138983423697507","1,0","1,0","0,25","0,25","0,14285714285714285","0,14285714285714285","0,5","0,5","1,012105007e-06","1,0030160539999998e-06","0,07121758825692859","0,12008649014804584","0,043028935582838684","0,11078365103483476",,0,,0,0,"2,0",2,8,8
"('66', '377')",66,377,2002,1,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,468771128197763e-05","1,5524118938081053e-05","0,0017048704321667235","0,0022391542384881387",,0,,0,0,"9999,0",9999,3,36
