,paper_id,paper_year,paper_title,paper_language,paper_num_authors,paper_theme,paper_acm_key,paper_acm_category,paper_acm_terms,paper_abstract_PT,paper_abstract_EN,paper_abstract_ES
0,4506,1998,Uma Abordagem Semiótica à Análise de Interfaces: um estudo de caso,PT-BR,3,,,,,"Computadores estão, mais e mais, mediando nossas ações. Sendo assim, eles podem ser entendidos como mídia e suas interfaces, como sistemas de signos. Nós argumentamos que os princípios de semiótica podem ser usados para avaliação e design de interfaces, melhorando a função de comunicar um significado. Neste artigo, aplicamos uma combinação de duas abordagens semióticas com foco no número, tipo e interpretabilidade de signos, como base para análise de interfaces. O framework resultante foi aplicado na análise da interface de duas ferramentas comerciais de correio eletrônico.",,
1,4507,1998,Knowledge and Communication Perspectives in Extensible Applications,EN,3,,,,,,"End-user programming brings forth the opportunity to explore semiotic and communicative aspects of extensible software and computing in general. This paper discusses some of these aspects under the light of Semiotic Engineering [10, 11, 12], adopting a knowledge-based communication-centered approach to software design in order to help users understand and be able to extend their applications to meet their tasks requirements. We do this by carefully designing the application languages users must interact with, and by providing mechanisms that help designers disclose their rationale to users.",
2,4508,1998,Uma Abordagem Ergonômica para o Desenvolvimento de Sistemas Interativos,PT-BR,4,,,,,"O presente artigo fornece uma visão geral das atividades, técnicas e ferramentas presentes na abordagem ergonômica para o desenvolvimento de sistemas interativos proposta pelo LabIUtil - Laboratório de Utilizabilidade da Informática da Universidade Federal de Santa Catarina. Esta abordagem visa apoiar a construção e a avaliação de sistemas interativos com as qualidades ergonômicas de utilidade e de facilidade de uso.",,
3,4509,1998,Estudo de Interação para um Sistema de Ensino à Distância Baseado em Interfaces de Realidade Virtual,PT-BR,3,,,,,"Este artigo discute a potencialidade do uso de interfaces gráficas tridimensionais (ambientes virtuais) em sistemas interativos e, particularmente, em aplicações voltadas ao ensino à distância. Como exemplo de tais sistemas, é apresentado o Projeto Professor Virtual, trabalho este, que está sendo desenvolvido pelo Grupo de Realidade Virtual da Universidade Federal de São Carlos. Para finalizar, são exibidas algumas formas de interação até agora definidas para o projeto citado.",,
4,4510,1998,APIS: Método para Desenvolvimento de Interfaces Homem-Computador em Sistemas de Segurança Visando a Confiabilidade Humana,PT-BR,1,,,,,"Este trabalho apresenta o método APIS: Análise e Projeto de Interfaces de Segurança, para desenvolvimento de interfaces homem-computador para sistemas de risco, nos quais o erro humano pode levar a catástrofes. O método proposto tem por base a aplicação das técnicas de Análise da Confiabilidade Humana em um ciclo de desenvolvimento, considerando os aspectos específicos da interação homem-computador.",,
5,4511,1998,"Interação, Interfaces e Instrumentos em Música Eletroacústica",PT-BR,1,,,,,"Esse texto aborda a questão da interação em sistemas de composição e performance musical que se utilizam de instrumentos eletrônicos e digitais. Inicialmente é analisado o papel do conceito de interação em música e suas peculiaridades. A seguir discutimos as noções de interface e de instrumento musical e suas relações com o surgimento dos novos instrumentos de funcionamento digital. É ressaltada a noção de ""meta-instrumento"".Finalmente, realizamos uma tentativa de classificação dos instrumentos de funcionamento digital.",,
6,4512,1998,Sistema de Gerenciamento Distribu_x0013__x0010_do de Interfaces Homem-Computador,PT-BR,2,,,,,"Interfaces concorrentes e distribuidas são cada vez mais comuns. Embora ferramentas para apoiar o desenvolvimento deste nicho de software sejam promissoras, elas ainda s~ao poucas, limitadas funcionalmente, impõem requisitos que n~ao s~ao comuns em ambientes de produ_x0018_c~ao e oferecem poucas abstrações. O gerenciador de di_x0013_alogo _x0013_e um dos componentes mais complexos de tais interfaces. O Sistema de Gerenciamento Distribu_x0013__x0010_do de Interfaces (SGDI) Xchart _x0013_e uma proposta que emprega uma linguagem de alto n_x0013__x0010_vel (Xchart) para capturar este gerenciador, assume a existência de recursos normalmente dispon_x0013__x0010_veis em ambientes de produ_x0018_cão e ap_x0013_oia a execu_x0018_c~ao deste componente, o que inclui o suporte ao modelo de m_x0013_ultiplos agentes oferecido por Xchart. Neste texto são apresentadas as principais id_x0013_eias subjacentes ao SGDI Xchart e como ele provê os recursos oferecidos.",,
7,4513,1998,Uma Abordagem Semiótica na Utilização dos Recursos Visuais em Linguagens de Interface,PT-BR,2,,,,,"Os Sistemas de Modelagem Geométrica, em sua maioria, utilizam entradas de dados através de interfaces gráficas por manipulação direta. Apesar das inúmeras vantagens que esse processo oferece aos usuários, boa parte dessas interfaces apresenta problemas de desempenho, em geral ligados ao uso assistemático dos recursos expressivos na linguagem de interação. Nesses sistemas essa questão é particularmente importante, em função de sua complexidade e das restrições expressivas impostas pelo recurso visual. Sistemas de Modelagem Geométrica são sistemas de representação/abstração de objetos do mundo físico no mundo computacional, logo, são sistemas de natureza intrinsecamente semiótica. Sendo sistemas criadores de signos, eles devem apoiar os usuários nas ações fundamentais relativas a essa tarefa, como: selecionar e instituir formas significativas, e prover mecanismos sistemáticos para a interpretação de tais formas quando usadas em atos de comunicação/representação. Este trabalho trata sobre linguagens visuais por manipulação direta para Sistemas de Modelagem Geométrica. Ele propõe uma abordagem sistemática na utilização do recurso expressivo visual, com base em um paradigma semiótico. Para esse fim são analisados os limites do recurso visual como meio expressivo e sua estruturação em uma linguagem.",,
8,4514,1998,Um Ambiente Para Desenvolvimento De Interfaces Homem-Computador Distribu_x0013__x0010_das em Rede de Longa Distância,PT-BR,2,,,,,"O objetivo deste artigo _x0013_e apresentar um ambiente para desenvolvimento de interfaces homem-computador distribu_x0013__x0010_das, o Ambiente Xchart. O ambiente Xchart cont_x0013_em um conjunto de ferramentas que facilitam o processo de constru_x0018_cão e execu_x0018_cão de interfaces homem-computador concorrentes (possivelmente distribuidas).Algumas aplica_x0018_cões distribu_x0013__x0010_das não exigem desempenho em tempo real e poderiam perfeitamente fazer uso dos recursos de distribui_x0018_c~ao deste ambiente para executarem de forma distribu_x0013__x0010_da em rede de longa distância.",,
9,4515,1998,Análise Glossemática da Estrutura das Linguagens de Interface Humano-Computador,PT-BR,2,,,,,"Interfaces podem ser entendidas como linguagens, na medida em que expressam elementos que devem ser usados em um processo de comunicação. Nós entendemos que a Semiótica, como ciência geral de todas as linguagens, suporta formalismos que possibilitam a análise de linguagens de interface Humano-Computador. Neste artigo discutimos uma teoria Semiótica - a Glossemática - como referencial teórico para se criar notação e procedimentos que possibilitem uma análise objetiva de linguagens de interface. Ilustramos esta discussão na linguagem da interface do Netscape Mail 3.0.",,
