,reference_id,paper_id,reference_full,reference_type,reference_year,reference_acronym,reference_language,reference_national,reference_author_ihc,reference_is_translation,reference_is_correct_complete,reference_self
0,0,4772,"KOLKMAN, M. Problem Articulation Methodology. PhD Thesis, University of Twente – Netherlands, (1993). ",T,1993.0,,EN,I,,,1.0,0.0
1,1,4506,"Andersen, P. B. (1997). A Theory of Computer Semiotics. Updated ed. of 1990. NewYork: Cambridge University Press. ",B,1997.0,Cambridge University,EN,I,E,,1.0,0.0
2,2,4506,"Card, S. K.; Moran, T. P.; Newell, A. (1983). The Psychology of Human-Computer Interaction. Hillsdale: Lawrence Erlbaum Associates. ",B,1983.0,Erlbaum,EN,I,,,1.0,0.0
3,3,4506,"Familant, M. E.; Detweiler, M. C. (1993). Iconic reference: evolving perspectives and an organizing framework. International Journal of Man-Machine Studies, V. 39, n. 4, p. 705-728. ",J,1993.0,IJMMS,EN,I,,,1.0,0.0
4,4,4506,"Jorna, R.; Van Heusden, B. (1996). Semiotics of user interface. Semiotica. V. 109, n. 3/4, p. 237-250. ",J,1996.0,Semiotica,EN,I,,,1.0,0.0
5,5,4506,"Laurel, B. (1990). The Art of Human-Computer Interaction. Reading, MA: Addison-Wesley. ",B,1990.0,ADDISON WESLEY,EN,I,,N,1.0,0.0
6,6,4506,"Nadin, M. (1988). Interface design: A semiotic paradigm. Semiotica. V. 69, n. 3/4, p. 269-302. ",J,1988.0,Semiotica,EN,I,,,1.0,0.0
7,7,4506,"Norman, D. A. (1986). Cognitive Engineering. In Norman, D. A.; Draper, S. W. (eds), User Centered System Design in New Perspectives on Human-Computer Interaction. Hillsdale: Lawrence Erlbaum Associates, p. 31-61. ",B,1986.0,Hillsdale,EN,I,,,1.0,0.0
8,8,4506,"Norman, D. A.; Draper, S. W. (1986). User Centered System Design in New Perspectives on Human-Computer Interaction. Hillsdale: Lawrence Erlbaum Associates. ",B,1986.0,Hillsdale,EN,I,,,1.0,0.0
9,9,4506,"Schneider, M. L.; Thomas, J. C. (1983). The Humanization of Computer Interfaces (Introduction). Communications of the ACM. V. 26, n. 4, p. 252-253. ",J,1983.0,CACM,EN,I,,,1.0,0.0
10,10,4506,"Schneiderman, B. (1986). Designing the User Interface: Strategies for Effective Human-Computer Interaction. Reading, Mass. : Addison-Wesley. ",B,1986.0,Addison-Wesley,EN,I,,,1.0,0.0
11,11,4506,"Souza, C. S. (1993). The Semiotic Engineering of User Interface Languages. International Journal of Man-Machine Studies, v. 39, p. 753-773. ",J,1993.0,International Journal of Man-Machine Studies,EN,I,,,1.0,0.0
12,12,4506,"Tversky, A. (1977). Features of similarity. Psychological Review, v. 84, p. 327-352. ",J,1977.0,Psychological Review,EN,I,,,1.0,0.0
13,13,4507,"Andersen, P. B. (1990) A Theory of Computer Semiotics. Cambridge. Cambridge University Press. ",B,1990.0,Cambridge University,EN,I,,,1.0,0.0
14,14,4507,"Andersen, P. B. (1993) A Semiotic Approach to programming. in Andersen, Holmqvist and Jensen (Eds. ) Computers as Media. Cambridge. Cambridge University Press. ",B,1993.0,Cambridge University,EN,I,,,1.0,0.0
15,15,4507,"Apple Computer, Inc. (1992) Macintosh Human Interface Guidelines. Reading, Ma. Addison Wesley. ",B,1992.0,Addison-Wesley,EN,I,,,1.0,0.0
16,16,4507,"Barbosa, S. D. J.; Cara, M. P.; Cereja, J. R.; Cunha, C. K. V.; de Souza, C. S. (1997) Interactive Aspects in Switching between User Interface Language and End-User Programming Environment: A Case Study. In Proceedings of WOMH?97. São Carlos, Brazil. ",C,1997.0,WOHM,EN,N,,,1.0,1.0
17,17,4507,"Cypher, A. (eds. ) Watch What I Do: Programming by Demonstration. MIT Press. Cambridge, Ma. 1993. ",B,1993.0,MIT Press,EN,I,,,1.0,0.0
18,18,4507,"da Silva, S. R. P. (1996) Guidelines for an UIL[EUPL for word processors. SERG Technical Report. PUC-Rio. ",R,1996.0,report,EN,N,,,1.0,1.0
19,19,4507,"da Silva, S. R. P.; Barbosa, S. D. J.; de Souza, C. S. (1997) Communicating Different Perspectives on Extensible Software. In Lucena, C. J. P. (ed. ) Monografias em Ciência da Computação. Departamento de Informática. PUC-RioInf MCC 23/97. Rio de Janeiro. ",R,1997.0,Monografias,EN,N,,,1.0,1.0
20,20,4507,"da Silva, S. R. P.; de Souza, C. S.; Ierusalimschy, R. (1997) A Communicative Approach to End-User Programming Languages. In Lucena, C. J. P. (ed. ) Monografias em Ciência da Computação. Departamento de Informática. PUC-RioInf MCC 47/97. Rio de Janeiro. ",R,1997.0,Monografias,EN,N,,,1.0,1.0
21,21,4507,"de Souza, C. S. (1993) The Semiotic Engineering of User Interface Languages. International Journal of Man-Machine Studies. No. 39. pp. 753-773. ",J,1993.0,IJMMS,EN,I,,,1.0,0.0
22,22,4507,"de Souza, C. S. (1996). The Semiotic Engineering of Concretness and Abstractness: From User Interface Languages to End User Programming Languages. Dagstuhl Seminar on Informatics and Semiotics. Schloss Dagstuhl, February 16-23. ",C,1996.0,DagstuhlIS,EN,I,,,1.0,0.0
23,23,4507,"de Souza, C. S. (1997). Supporting End-User Programming with Explanatory Discourse. ISAS?97. ",C,1997.0,ISAS,EN,I,BR,,1.0,0.0
24,24,4507,"de Souza, C. S. and Barbosa, S. D. J. (1996) End-User Programming Environments: The Semiotic Challenges. In Lucena, C. J. P. (ed. ) Monografias em Ciência da Computação. Departamento de Informática.. PUC-RioInf MCC 19/96. Rio de Janeiro. ",R,1996.0,MCC,EN,N,BR,,1.0,1.0
25,25,4507,"Digiano, C. and Eisenberg, M. (1995) Self-disclosing design tools: A gentle introduction to end-user programming. in Proceedings of DIS ?95. Ann Arbor, Michigan. August 23-25, 1995. ACM Press. ",C,1995.0,DIS,EN,I,,,1.0,0.0
26,26,4507,"Draper, S. W. (1986) Display managers as the basis for user machine communication. In Norman and Draper (eds. ) User Centered System Design. Lawrence Erlbaum and Associates. Hillsdale, NJ. ",B,1986.0,Lawrence Erlbaum and Associates,EN,I,,,1.0,0.0
27,27,4507,"Gelernter, D. and Jagannathan, S. (1990) Programming Linguistics. Cambridge, Ma. The MIT Press. ",B,1990.0,MIT Press,EN,I,,,1.0,0.0
28,28,4507,"Kurlander, D. & Feiner, S. ?A History-Based Macro by Example System? in Watch What I Do: Programming by Demonstration edited by Allen Cypher. MIT Press. Cambridge, Ma. 1993. ",B,1993.0,MIT PRESS,EN,I,,N,1.0,0.0
29,29,4507,Microsoft Corporation (1995) The Windows Interface Guidelines for Software Design. Redmond. Microsoft Press. ,B,1995.0,Microsoft Press,EN,I,,,1.0,0.0
30,30,4507,"Myers, B.; Canfield Smith, D.; and Horn, B. (1992) Report of the End User Programming Working Group. In Myers, B. (Ed. ) Languages for Developing User Interfaces. Boston. Jones and Bartlett. pp. 343-366. ",B,1992.0,Jones and Bartlett,EN,I,,,1.0,0.0
31,31,4507,"Myers, B. A. (Ed. ) (1992). Languages for Developing User Interfaces. Jones and Bartlett Publications. Boston. ",B,1992.0,Jones and Bartlett,EN,I,,,1.0,0.0
32,32,4507,"Nadin, M. (1988) Interface Design and Evaluation ? Semiotic Implications, in Hartson, R. and Hix, D. (eds. ), Advances in Human?Computer Interaction, Volume 2, 45?100. ",J,1988.0,Advances in Human-Computer Interaction,EN,I,,,1.0,0.0
33,33,4507,"Nardi, B. (1993) A Small Matter of Programming. Cambridge, Ma. The MIT Press",B,1993.0,MIT Press,EN,I,,,1.0,0.0
34,34,4507,"Pattis, R. E.; Roberts, J.; and Stehlik, M. (1995) Karel the Robot: A Gentle Introduction to the Art of Programming. New York, N. Y. John Wiley and Sons. ",B,1995.0,Wiley,EN,I,,,1.0,0.0
35,35,4507,"Payne. S. J. Interface Problems and Interface Resources. In Carroll, J. (ed. ) Designing Interactions: Psychology at the Human-Computer Interface. Cambridge University Press. Cambridge, Ma. ",B,,Cambridge University,EN,I,,,1.0,0.0
36,36,4507,"Peirce, C. S. (1931) Collected Papers. Cambridge, Ma. Harvard University Press. (excerpted in Buchler, Justus, ed.; Philosophical Writings of Peirce, New York: Dover, 1955)",B,1955.0,Harvard University Press,EN,I,,,1.0,0.0
37,37,4508,"BARTHET, M. F. (1988). Logiciels Interactifs et Ergonomie - Modèles et méthodes de conception, Dunod Informatique, 1988. ",B,1988.0,,FR,I,,,1.0,0.0
38,38,4508,"BASTIEN, C. & SCAPIN, D. (1993). Ergonomic Criteria for the Evaluation of Human-Computer Interfaces. (Relatório de Pesquisa Nº. 156). INRIA -Institut National de Recherche en Informatique et en Automatique, Rocquencourt, França. ",R,1993.0,INRIA,FR,I,,,1.0,0.0
39,39,4508,"BASTIEN, C. & SCAPIN, D. L. (1995). Evaluating a user interface with ergonomic criteria. International Journal of Human-Computer Interaction, 7, 105-121. ",J,1995.0,IJHCI,EN,I,,,1.0,0.0
40,40,4508,"BASTIEN, J. M. C.; & SCAPIN, D. L. (1992). A validation of ergonomic criteria for the evaluation of humancomputer interfaces. International Journal of Human-Computer Interaction, 4(2), 183-196. ",J,1992.0,IJHCI,EN,I,,,1.0,0.0
41,41,4508,"BENYON, D. (1992). The role of task analysis and systems design. Interacting with Computer, 4 (1), 1992. ",J,1992.0,IwC,EN,I,,,1.0,0.0
42,42,4508,"CISSÉ, A.; PIMENTA, M. S. (1996). Requirements Engineering as an Emergent Process. In: Proc. of Fifth European Workshop on Software Process Technology (EWSPT 96), October 1996, Nancy, France, Lecture Notes in Computer Science (LNCS) N. 1149, Springer Verlag. ",C,1996.0,EWSPT,EN,I,,,1.0,0.0
43,43,4508,"CYBIS, W, & MOÇO, S. (1997) Técnica de elaboração de cenários visando os ensaios de interação. In. Anais do 8 Congresso Brasileiro de Ergonomia, Florianópolis, SC",C,1997.0,Congresso Brasileiro de Ergonomia,PT,N,,,1.0,0.0
44,44,4508,"CYBIS, W. A. (1994), A identificação dos objetos de interfaces homem-computador e de seus atributos ergonômicos. Tese de Doutorado, Programa de Pós-Graduação em Engenharia de Produção, Universidade Federal de Santa Catarina, Brasil. ",T,1994.0,Doutorado,PT,N,,,1.0,0.0
45,45,4508,"CYBIS, W. A. (1997), Desenvolvimento de técnicas de inspeção ergonômica de sistemas interativos. In. Anais do 8 Congresso Brasileiro de Ergonomia, Florianópolis, SC",O,1997.0,Congresso Brasileiro de Ergonomia,PT,N,,,1.0,0.0
46,46,4508,"GAMEZ, L. Técnica de inspeção de conformidade ergonômica de software educacional. Dissertação deMestrado, Programa de Pós-Graduação em Engenharia Humana - Universidade do Minho, Guimarães Portugal (a ser publicado). ",D,,Mestrado,PT,N,,,1.0,0.0
47,47,4508,"JACOBSON, I. et all. (1992). Object oriented software engeneering. ACM Press, Addison-Wesley, 1992. ",B,1992.0,Addison-Wesley,EN,I,,,1.0,0.0
48,48,4508,"JEFFRIES, R.; MILLER. J.; WHARTON, C. & UYEDA, K. (1991) User interface evaluation in the real world: a comparison of four techniques. In CHI 91 Human Factors in Computing Systems, New Orleans. ",C,1991.0,CHI,EN,I,,,1.0,0.0
49,49,4508,"JOHNSON, P. (1992). Human-Computer Interaction: Psycology, task analysis and software engineering, Mc-Graw Hill, Maidenhead, UK, 1992. ",B,1992.0,McGraw -Hill,EN,I,,,1.0,0.0
50,50,4508,"LAVILLE, A. (1977). Ergonomia (First ed. ) São Paulo: Editora Pedagógica e Universitária Ltda. ",B,1977.0,EDITORA PEDAGÓGICA E UNIVERSITÁRIA,PT,N,,,1.0,0.0
51,51,4508,"PIMENTA, M. S. (1997). TAREFA: Une Approche pour L?Ingénierie des Besoins des Systèmes Interactifs, Thèse de Doctorat en Informatique, Université Toulouse 1, Outubro de 1997, Toulouse, França. ",T,1997.0,Doctorat,FR,I,,,1.0,0.0
52,52,4508,"PIMENTA, M. S.; BARTHET, M. -F. (1996a). Context Modelling for an Usability Oriented Approach to Interactive Systems Requirements Engineering. In: Proc. of IEEE International Symposium and Workshop on Engineering of Computer Based Systems (ECBS 96), March 1996, Friedrichshafen, Germany. ",C,1996.0,ECBS,EN,I,,,1.0,0.0
53,53,4508,"PIMENTA, M. S.; BARTHET, M. -F. (1996b) Task Organisational Context Modelling: an Approach for Improving Interactive Systems Usability. In: In: Proc. of First International Conference on Applied Ergonomics (ICAE 96), May 1996, Istanbul, Turkey. ",C,1996.0,ICAE,EN,I,,,1.0,0.0
54,54,4508,"PIMENTA, M. S.; FAUST, R. (1997). Eliciting Interactive Systems Requirements in a Language-Centred User-Designer Collaboration. In: ACM SIGCHI Bulletin, V. 29, N. 1, January 1997. ",O,1997.0,Bulletin,EN,I,,,1.0,0.0
55,55,4508,"POLLIER, A. (1991). Evaluation d?une interface par des ergonomes: diagnostiques et stratégies Rapport de Recherche Nº 1391. INRIA. ",R,1991.0,INRIA,FR,I,,,1.0,0.0
56,56,4508,"RICHARD, J. F. (1983). Logique du fonctionnement et logique de l?utilisation. Rapport de Recherche 202, Rocquencourt, France: INRIA. ",R,1983.0,INRIA,FR,I,,,1.0,0.0
57,57,4508,"SEBILLOTTE, S. & SCAPIN, D. L. (1994). From users? task knowledge to high level interface specification. International Journal of Human-computer Interaction, 6, 1-15. ",J,1994.0,IJHCI,EN,I,,,1.0,0.0
58,58,4508,"SILVEIRA, M. C. Técnica de Inspeção de conformidade ergonômica de software interativo voltada à componentes. Dissertação de Mestrado, Programa de Pós-Graduação em Engenharia de Produção, Universidade Federal de Santa Catarina, Florianópolis, Brasil (a ser publicado). ",D,,Mestrado,PT,N,,,1.0,0.0
59,59,4508,"VALENTIN, A.; VALLERY, G & LUCONGSANG, R. (1993). L évaluation ergonomique des logiciels; une démarche interative de conception (first ed. ). Paris: ANACT. ",B,1993.0,ANACT,FR,I,,,1.0,0.0
60,60,4508,"VANDERDONCKT, J. (1996). Current trends in computer aided design of user interface. In Proc. of 2th International Workshop on Computer-Aided Design of User Interfaces (CADUI?96), Namur, Belgique, 5-7 June 1996, Vanderdonckt, J. (ed. ), Presses Universitaires de Namur. ",C,1996.0,CADUI,EN,I,,,1.0,0.0
61,61,4508,"ZAVE, P. (1995). Classification of research efforts in requirements engeneering. Used as classification scheme for the Second IEEE Intl. Symposium on Requirements Engineering 1995. ",C,1995.0,RE,EN,I,,,1.0,0.0
62,62,4509,"Anselmo, M. V. - ?Projeto: Animação Facial?, resumo disponível a partir de: http://www. dc. ufscar. br/~grv/marcus. htm",O,,,PT,N,,,1.0,0.0
63,63,4509,"Byrne, C. M. - ""The Use of Virtual Reality as Educational Tool"", Washington University, 1995. ",B,1995.0,Washington University,EN,I,,,1.0,0.0
64,64,4509,"Chi, Uli H.; - ""Formal Specification of User Interfaces: A Comparison and Evaluation of Four Axiomatic Approaches"", IEEE Transactions on Software Engineering, Agosto 1985, Vol. SE-11, No. 8, pp. 671-685. ",J,1985.0,TOSE,EN,I,,,1.0,0.0
65,65,4509,"Hancock, D. - ""Viewpoint: Virtual Reality in Search of Middle Ground"", IEEE Spectrum, 32(1):68, Jan. 1995. ",J,1995.0,IEEE Spectrum,EN,I,,,1.0,0.0
66,66,4509,"Kalawsky, R. S. - ""Exploring Virtual Reality Techniques in Education and Training: Technological Issues"", Advanced VR Research Centre, Lough-borough University of Technology. ",B,1993.0,Lough-borough University of Technology,EN,I,,,1.0,0.0
67,67,4509,"Kirner, C. et al. - ""Projeto Professor Virtual"", Grupo de Realidade Virtual da Universidade Federal de São Carlos. http://www. dc. ufscar. br/~grv/pvirtual. htm. ",O,,http,PT,N,,,1.0,1.0
68,68,4509,"Kirner, C. et al. ? ?Sistemas de Realidade Virtual?, Apostila do I Ciclo de Palestras de Realidade Virtual, Universidade Federal de São Carlos, Outubro 1996, http://www. dc. ufscar. br/~grv/tutrv. htm. 54 p. ",O,1996.0,,PT,N,,,1.0,1.0
69,69,4509,"Silva, J. C. A. - ""Uso de Gabaritos Configuráveis para Desenvolvimento de Interfaces Virtuais"", Anais do 1o Workshop de Realidade Virtual, São Carlos, SP, Novembro de 1997, p. 81-90. ",C,1997.0,WRV,PT,N,,,1.0,0.0
70,70,4509,"Teixeira, R. ""Requisitos de Ambientes Virtuais Distribuídos de Larga Escala"", Workshop de Realidade Virtual WRV?97), 9-12 de Novembro de 1997, pp. 26-35. ",C,1997.0,WRV,PT,N,,,1.0,0.0
71,71,4509,"Van Dam, A. - ""Post-WIMP User Interfaces"", Communications of ACM, vol. 40, n. 2, Feb. 1997, p. 63-67. ",J,1997.0,CACM,EN,I,,,1.0,0.0
72,72,4510,"Burgy, D. et al. Task analysis of nuclear power plant control room crews. United States Nuclear Regulatory Commission. 1983. (NUREG/CR-3371)",O,1983.0,,EN,,,,1.0,0.0
73,73,4510,"Dougherty, E. M.; Fragola, J. R. Human reliability analysis - a system engineering approach with nuclear power plant applications. John Wiley& Sons, 1988. ",B,1988.0,Wiley,EN,I,,,1.0,0.0
74,74,4510,"Embrey, D. E.. Human reliability. In: Serra, A.; Barlow, R. E. Teoria dell Affidabilità. 1986. p. 465-490. ",O,1986.0,,EN,,,,1.0,0.0
75,75,4510,"Evans, B. Cockpit automation: The Good, the Bad, and the Ugly; Avionics Magazine, May 1998, pg 34-38. ",J,1998.0,Avionics,EN,I,,,1.0,0.0
76,76,4510,"Hollnagel, E. Human Reliability Analysis - Context and Control; Academic Press, 1993, 336 p. ",B,1993.0,,EN,I,,,1.0,0.0
77,77,4510,"LaSala, K. P; Filgueiras, L. V. L; Gigley, H.; Ullman, R. Designing Systems for Reliable Human Performance, IEEE Tutorial Video, 1997. ",O,1997.0,TUTORIAL,EN,I,,,1.0,0.0
78,78,4510,"Lee, K. W.; Tillman, F. A.; Higgins, J. J.; A Literature Survey of the Human Reliability Component in a Man-Machine System; IEEE Transactions on Reliability, vol. R-37, no. 1, april 1988, p. 24-34",J,1988.0,IEEE Transactions on Reliability,EN,I,,,1.0,0.0
79,79,4510,"Nielsen, J. Usability Engineering, Academic Press, 1993",B,1993.0,,EN,I,,,1.0,0.0
80,80,4510,"Rasmussen, J.; The role of hierarchical representation in decision making and system management. IEEE Transactions on Systems, Man and Cybernetics. v. SMC(15), p. 234-243, 1985",J,1985.0,TransSMC,EN,I,,,1.0,0.0
81,81,4510,"Swain, A. D.; Guttmann, H. E. Handbook of human reliability analysis with emphasis on nuclear power plant applications. United States Nuclear Regulatory Commission. 1983. (NUREG/CR-1278)",O,1983.0,,EN,,,,1.0,0.0
82,82,4511,"Boie, B.; Hill, M.; & Schloss, A. (1989). The Radio Drum as a Synthesizer Controller. In International",C,1989.0,ICMC,EN,I,,,1.0,0.0
83,83,4511,"Davies, H. (1989). A History of Sampling. Experimental Musical Instruments, 5(2), 17-19. ",J,1989.0,EMI,EN,I,,,1.0,0.0
84,84,4511,"Dodge, C.; & Jerse, T. A. (1985). Computer Music: Synthesis, Composition, and Performance. New York: Schirmer Books. ",B,1985.0,,EN,I,,,1.0,0.0
85,85,4511,"Gorne, A. V. (Ed. ). (1991). Vous avez dit Acousmatique? Belgique: Editions Musiques et Recherches. ",B,1991.0,Editions Musiques et Recherches,FR,I,,,1.0,0.0
86,86,4511,"Iazzetta, F. (1996). Formalization of Computer Music Interaction Through a Semiotic Approach. Journal of New Music Research, 25(3), 212-230. ",J,1996.0,ournal of New Music Research,EN,I,,,1.0,1.0
